Folder Name,Size,Path,File Count,Last Modified,Depth,Parent Folder,Size (MB)
site-packages,2306266073,C:\ProgramData\Anaconda3\envs\customerBehavior\Lib\site-packages,65662,2023-09-14 00:53:04.407013376,5,C:\ProgramData\Anaconda3\envs\customerBehavior\Lib,2199.4267206192017
_EXTERNAL_,2300152519,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1\SM-G975U1_15134989482\SM-G975U1_20230211233212\Photo\_EXTERNAL_,850,2023-02-12 04:32:33.137149696,10,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1\SM-G975U1_15134989482\SM-G975U1_20230211233212\Photo,2193.596381187439
DCIM,2299719734,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1\SM-G975U1_15134989482\SM-G975U1_20230211233212\Photo\_EXTERNAL_\DCIM,847,2023-02-12 04:32:33.133493248,11,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1\SM-G975U1_15134989482\SM-G975U1_20230211233212\Photo\_EXTERNAL_,2193.183645248413
Camera,2271525955,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1\SM-G975U1_15134989482\SM-G975U1_20230211233212\Photo\_EXTERNAL_\DCIM\Camera,794,2023-02-12 04:36:28.235468800,12,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1\SM-G975U1_15134989482\SM-G975U1_20230211233212\Photo\_EXTERNAL_\DCIM,2166.295962333679
Chrome,2249191305,C:\Users\teddi\AppData\Local\Google\Chrome,12085,2022-10-18 23:09:23.620133376,5,C:\Users\teddi\AppData\Local\Google,2144.9959802627563
User Data,2248480940,C:\Users\teddi\AppData\Local\Google\Chrome\User Data,12074,2023-09-16 23:19:28.552331776,6,C:\Users\teddi\AppData\Local\Google\Chrome,2144.3185234069824
Google,2248355702,C:\Users\teddi\AppData\Local\Google,12088,2022-10-18 23:13:40.111615232,4,C:\Users\teddi\AppData\Local,2144.1990871429443
Music,2154975153,C:\Users\teddi\Music,447,2023-02-25 20:59:56.207238656,2,C:\Users\teddi,2055.144455909729
R,2147890764,C:\Users\teddi\Documents\R,51424,2022-10-23 03:08:05.392824064,3,C:\Users\teddi\Documents,2048.388256072998
4.0,2147890764,C:\Users\teddi\Documents\R\win-library\4.0,51424,2022-10-23 03:30:02.154049280,5,C:\Users\teddi\Documents\R\win-library,2048.388256072998
win-library,2147890764,C:\Users\teddi\Documents\R\win-library,51424,2022-10-23 03:08:05.404219904,4,C:\Users\teddi\Documents\R,2048.388256072998
Library,2017151560,C:\ProgramData\Anaconda3\Library,15155,2023-02-05 23:26:44.451990016,2,C:\ProgramData\Anaconda3,1923.7056350708008
Adobe,1943294530,C:\Program Files\Adobe,6817,2023-06-12 15:40:12.550970368,1,C:\Program Files,1853.2700824737549
Teaching,1938242781,C:\Users\teddi\Documents\Old HP docs\Teaching,703,2022-10-21 03:22:25.506385664,4,C:\Users\teddi\Documents\Old HP docs,1848.452359199524
Office16,1925097645,C:\Program Files\Microsoft Office\root\Office16,3374,2023-09-16 12:30:58.917962240,3,C:\Program Files\Microsoft Office\root,1835.9161806106567
bin,1912600889,C:\ProgramData\Anaconda3\envs\customerBehavior\Library\bin,513,2023-07-01 15:04:20.424630272,5,C:\ProgramData\Anaconda3\envs\customerBehavior\Library,1823.998345375061
BAIS660 Programming for Analytics,1868352879,C:\Users\teddi\Documents\Xavier\BAIS660 Programming for Analytics,81,2022-10-21 03:11:48.781513216,4,C:\Users\teddi\Documents\Xavier,1781.8001546859741
Tableau 2022.3,1857034155,C:\Program Files\Tableau\Tableau 2022.3,5403,2022-10-28 23:48:09.169369856,2,C:\Program Files\Tableau,1771.005778312683
Common Files,1833384319,C:\Program Files\Common Files,5691,2023-06-12 15:24:07.511840768,1,C:\Program Files,1748.4515371322632
swsetup,1749318645,C:\swsetup,715,2023-08-19 14:27:36.991925248,0,C:\,1668.2802629470825
lib,1711741383,C:\rtools42\x86_64-w64-mingw32.static.posix\lib,2765,2022-10-22 04:46:38.582477824,2,C:\rtools42\x86_64-w64-mingw32.static.posix,1632.443793296814
lib,1711741383,C:\rtools42\usr\lib\mxe\usr\x86_64-w64-mingw32.static.posix\lib,2765,2022-10-22 04:46:38.582477824,6,C:\rtools42\usr\lib\mxe\usr\x86_64-w64-mingw32.static.posix,1632.443793296814
Tableau Prep Builder 2022.3,1694332450,C:\Program Files\Tableau\Tableau Prep Builder 2022.3,421,2022-10-29 00:09:28.994468608,2,C:\Program Files\Tableau,1615.8413410186768
$WinREAgent,1663941759,C:\$WinREAgent,7,2023-09-12 23:09:17.190414336,0,C:\,1586.8585195541382
Tableau 2022.1,1650402319,C:\Program Files\Tableau\Tableau 2022.1,5363,2022-10-28 23:28:49.895051776,2,C:\Program Files\Tableau,1573.9463033676147
Acrobat DC,1645965559,C:\Program Files\Adobe\Acrobat DC,4100,2023-09-14 17:54:16.449629184,2,C:\Program Files\Adobe,1569.7150793075562
imageClassficatgion_deployment,1641465306,C:\Users\teddi\Documents\GitHub\imageClassficatgion_deployment,29021,2023-07-11 04:30:05.192787968,4,C:\Users\teddi\Documents\GitHub,1565.423303604126
IELTS,1626851203,C:\Users\teddi\Documents\Old HP docs\Teaching\IELTS,146,2022-10-21 03:22:14.401488896,5,C:\Users\teddi\Documents\Old HP docs\Teaching,1551.4862089157104
ivenv,1620880343,C:\Users\teddi\Documents\GitHub\imageClassficatgion_deployment\ivenv,28743,2023-07-11 19:59:53.645473280,5,C:\Users\teddi\Documents\GitHub\imageClassficatgion_deployment,1545.791953086853
bin,1620676576,C:\ProgramData\Anaconda3\Library\bin,532,2023-02-09 00:47:53.486775552,3,C:\ProgramData\Anaconda3\Library,1545.5976257324219
site-packages,1613357574,C:\Users\teddi\Documents\GitHub\imageClassficatgion_deployment\ivenv\Lib\site-packages,28577,2023-07-11 20:00:13.708453120,7,C:\Users\teddi\Documents\GitHub\imageClassficatgion_deployment\ivenv\Lib,1538.617681503296
Lib,1613357574,C:\Users\teddi\Documents\GitHub\imageClassficatgion_deployment\ivenv\Lib,28577,2023-07-10 21:59:18.302521344,6,C:\Users\teddi\Documents\GitHub\imageClassficatgion_deployment\ivenv,1538.617681503296
Default,1609536481,C:\Users\teddi\AppData\Local\Google\Chrome\User Data\Default,11213,2023-09-16 23:24:20.905417728,7,C:\Users\teddi\AppData\Local\Google\Chrome\User Data,1534.9736032485962
Microsoft,1578033192,C:\ProgramData\Microsoft,2182,2023-06-08 13:15:58.893618944,1,C:\ProgramData,1504.9297256469727
Tableau,1562205507,C:\Users\teddi\Documents\Tableau,4903,2022-10-23 03:40:00.439266816,3,C:\Users\teddi\Documents,1489.8352689743042
Tableau 2018.3,1552684825,C:\Users\teddi\Documents\Tableau\Tableau 2018.3,4893,2022-10-23 03:40:00.252936448,4,C:\Users\teddi\Documents\Tableau,1480.755639076233
Adobe,1545293107,C:\Program Files\Common Files\Adobe,5143,2023-06-12 15:40:59.946023168,2,C:\Program Files\Common Files,1473.7063474655151
Acrobat,1442561065,C:\Program Files\Adobe\Acrobat DC\Acrobat,3709,2023-09-14 17:54:17.164741376,3,C:\Program Files\Adobe\Acrobat DC,1375.733437538147
vfs,1440039803,C:\Program Files\Microsoft Office\root\vfs,1157,2022-10-19 01:24:01.488672000,3,C:\Program Files\Microsoft Office\root,1373.328974723816
SQL2022,1391314129,C:\SQL2022,359,2023-01-08 22:58:55.291931136,0,C:\,1326.8605508804321
EdgeWebView,1365255305,C:\Program Files (x86)\Microsoft\EdgeWebView,708,2023-09-15 06:56:46.444820480,2,C:\Program Files (x86)\Microsoft,1302.0089197158813
Application,1365255305,C:\Program Files (x86)\Microsoft\EdgeWebView\Application,708,2023-09-15 06:56:45.684121600,3,C:\Program Files (x86)\Microsoft\EdgeWebView,1302.0089197158813
On-premises data gateway (personal mode),1356490201,C:\Users\teddi\AppData\Local\Microsoft\On-premises data gateway (personal mode),3384,2023-09-14 17:37:03.316096256,5,C:\Users\teddi\AppData\Local\Microsoft,1293.6498651504517
iigd_dch.inf_amd64_8b084a4c4c96a30f,1349805415,C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_8b084a4c4c96a30f,144,2023-07-13 20:31:32.414124800,4,C:\Windows\System32\DriverStore\FileRepository,1287.2747564315796
Developer_ENU,1349104490,C:\SQL2022\Developer_ENU,208,2023-01-08 22:58:55.353526016,1,C:\SQL2022,1286.6063022613525
$PatchCache$,1340355992,C:\Windows\Installer\$PatchCache$,864,2023-04-28 17:34:56.999414016,2,C:\Windows\Installer,1278.263084411621
Integrated Chinese Series,1334378213,C:\Users\teddi\Desktop\Desktop Cleanup\toshiba flash drive backup\03.Beginners Courses\Integrated Chinese Series,4,2022-10-21 01:41:34.055215616,6,C:\Users\teddi\Desktop\Desktop Cleanup\toshiba flash drive backup\03.Beginners Courses,1272.5622301101685
User Data,1333738622,C:\Users\teddi\AppData\Local\Microsoft\Edge\User Data,10438,2023-06-08 00:50:22.309057024,6,C:\Users\teddi\AppData\Local\Microsoft\Edge,1271.9522686004639
Edge,1333738622,C:\Users\teddi\AppData\Local\Microsoft\Edge,10438,2022-10-18 20:43:39.794899200,5,C:\Users\teddi\AppData\Local\Microsoft,1271.9522686004639
iigd_dch.inf_amd64_dc29bdfd478be046,1332366204,C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_dc29bdfd478be046,144,2023-04-19 21:59:45.238171392,4,C:\Windows\System32\DriverStore\FileRepository,1270.6434288024902
test 1,1329799710,C:\Users\teddi\Documents\test 1,29,2022-10-23 03:40:21.334077696,3,C:\Users\teddi\Documents,1268.1958293914795
Outlook,1285547952,C:\Users\teddi\AppData\Local\Microsoft\Outlook,67,2023-09-16 12:56:49.952081408,5,C:\Users\teddi\AppData\Local\Microsoft,1225.9940643310547
Microsoft SQL Server,1277355869,C:\Program Files\Microsoft SQL Server,2548,2023-05-27 23:00:02.064979968,1,C:\Program Files,1218.1814851760864
Managed,1263422368,C:\Windows\Installer\$PatchCache$\Managed,817,2023-09-12 22:35:14.525031424,3,C:\Windows\Installer\$PatchCache$,1204.8934631347656
Default,1254390889,C:\Users\teddi\AppData\Local\Microsoft\Edge\User Data\Default,9927,2023-09-14 17:35:45.458237696,7,C:\Users\teddi\AppData\Local\Microsoft\Edge\User Data,1196.2803735733032
Postman,1236817128,C:\Users\teddi\AppData\Local\Postman,156,2023-07-08 18:31:38.567140352,4,C:\Users\teddi\AppData\Local,1179.5207290649414
.cache,1222011262,C:\Users\teddi\.cache,30,2023-07-01 14:53:03.222894336,2,C:\Users\teddi,1165.4007549285889
AnalyzingDatawithMSPowerBI,1214693938,C:\Users\teddi\Documents\Training\AnalyzingDatawithMSPowerBI,56,2023-05-22 01:16:14.454507264,4,C:\Users\teddi\Documents\Training,1158.4224109649658
hub,1209248334,C:\Users\teddi\.cache\huggingface\hub,28,2023-07-01 19:06:21.613968640,4,C:\Users\teddi\.cache\huggingface,1153.2290782928467
huggingface,1209248334,C:\Users\teddi\.cache\huggingface,28,2023-07-01 14:53:03.223893504,3,C:\Users\teddi\.cache,1153.2290782928467
Microsoft SQL Server Management Studio 19,1205767856,C:\Program Files (x86)\Microsoft SQL Server Management Studio 19,3645,2023-03-10 19:47:07.891549952,1,C:\Program Files (x86),1149.9098358154297
car_tires,1204151826,C:\Users\teddi\Documents\Projects\car_tires,23450,2023-02-19 23:36:44.769634560,4,C:\Users\teddi\Documents\Projects,1148.3686695098877
.myvenv,1204146390,C:\Users\teddi\Documents\Projects\car_tires\.myvenv,23442,2023-02-19 22:48:36.987686400,5,C:\Users\teddi\Documents\Projects\car_tires,1148.3634853363037
Common7,1202456609,C:\Program Files (x86)\Microsoft SQL Server Management Studio 19\Common7,3633,2023-07-29 20:41:55.031499776,2,C:\Program Files (x86)\Microsoft SQL Server Management Studio 19,1146.7519845962524
site-packages,1200308180,C:\Users\teddi\Documents\Projects\car_tires\.myvenv\Lib\site-packages,23420,2023-02-19 22:55:31.677778688,7,C:\Users\teddi\Documents\Projects\car_tires\.myvenv\Lib,1144.70308303833
Lib,1200308180,C:\Users\teddi\Documents\Projects\car_tires\.myvenv\Lib,23420,2023-02-19 20:56:07.166272768,6,C:\Users\teddi\Documents\Projects\car_tires\.myvenv,1144.70308303833
msi,1184590848,C:\Users\teddi\Downloads\msi,18,2023-09-03 22:43:58.583704832,3,C:\Users\teddi\Downloads,1129.7138671875
Miniconda3,1165988151,C:\Users\teddi\AppData\Local\Alteryx\bin\Miniconda3,28936,2023-07-21 15:52:58.159534080,6,C:\Users\teddi\AppData\Local\Alteryx\bin,1111.9729528427124
Code,1156813049,C:\Users\teddi\AppData\Roaming\Code,9004,2023-09-16 02:11:45.924559872,4,C:\Users\teddi\AppData\Roaming,1103.2228937149048
bin,1151185502,C:\Program Files\Tableau\Tableau 2022.3\bin,729,2022-10-28 23:48:09.081607936,3,C:\Program Files\Tableau\Tableau 2022.3,1097.8560466766357
Datasets,1146618410,C:\Users\teddi\Documents\Datasets,115,2023-06-22 01:14:00.220738816,3,C:\Users\teddi\Documents,1093.5005283355713
m,1146294297,C:\Users\teddi\AppData\Local\Microsoft\On-premises data gateway (personal mode)\m,2798,2023-06-01 21:00:22.045729280,6,C:\Users\teddi\AppData\Local\Microsoft\On-premises data gateway (personal mode),1093.191430091858
resources,1129384745,C:\Program Files\Tableau\Tableau Prep Builder 2022.3\resources,222,2022-10-29 00:09:19.185774848,3,C:\Program Files\Tableau\Tableau Prep Builder 2022.3,1077.065224647522
app,1129384745,C:\Program Files\Tableau\Tableau Prep Builder 2022.3\resources\app,222,2022-10-29 00:09:31.565030144,4,C:\Program Files\Tableau\Tableau Prep Builder 2022.3\resources,1077.065224647522
Microsoft SQL Server Management Studio 18,1128841388,C:\Program Files (x86)\Microsoft SQL Server Management Studio 18,3553,2023-01-08 22:37:09.686541824,1,C:\Program Files (x86),1076.5470390319824
Common7,1125390642,C:\Program Files (x86)\Microsoft SQL Server Management Studio 18\Common7,3539,2023-01-08 22:38:05.490594048,2,C:\Program Files (x86)\Microsoft SQL Server Management Studio 18,1073.2561511993408
Bitdefender,1119285493,C:\Program Files\Bitdefender,7381,2023-07-04 18:56:53.541676288,1,C:\Program Files,1067.4338274002075
SysWOW64,1109016330,C:\Windows\SysWOW64,4770,2023-09-14 17:50:38.776807680,1,C:\Windows,1057.6403903961182
tensorflow,1101134150,C:\Users\teddi\Documents\GitHub\imageClassficatgion_deployment\ivenv\Lib\site-packages\tensorflow,11308,2023-07-11 02:12:03.591758592,8,C:\Users\teddi\Documents\GitHub\imageClassficatgion_deployment\ivenv\Lib\site-packages,1050.1233577728271
tensorflow,1101093494,C:\Users\teddi\.pyenv\pyenv-win\versions\3.9.6\Lib\site-packages\tensorflow,11308,2023-07-06 02:48:08.646200320,8,C:\Users\teddi\.pyenv\pyenv-win\versions\3.9.6\Lib\site-packages,1050.0845851898193
assembly,1100789322,C:\Windows\assembly,1351,2023-08-11 16:36:29.194490624,1,C:\Windows,1049.7945041656494
IDE,1092917915,C:\Program Files (x86)\Microsoft SQL Server Management Studio 19\Common7\IDE,3245,2023-07-29 20:41:55.062630400,3,C:\Program Files (x86)\Microsoft SQL Server Management Studio 19\Common7,1042.287745475769
MySQL,1088794037,C:\Program Files\MySQL,16501,2023-05-06 19:28:12.937916416,1,C:\Program Files,1038.3549089431763
Documents,1086741317,C:\Users\teddi\OneDrive\Documents,1430,2022-10-19 02:51:03.804956928,3,C:\Users\teddi\OneDrive,1036.3972826004028
dzhqoep8.default-release,1083250847,C:\Users\teddi\AppData\Local\Mozilla\Firefox\Profiles\dzhqoep8.default-release,65334,2023-09-16 23:31:55.421431552,7,C:\Users\teddi\AppData\Local\Mozilla\Firefox\Profiles,1033.0685110092163
Mozilla,1083242508,C:\Users\teddi\AppData\Local\Mozilla,65336,2022-10-19 01:48:58.044802304,4,C:\Users\teddi\AppData\Local,1033.0605583190918
Firefox,1083242388,C:\Users\teddi\AppData\Local\Mozilla\Firefox,65336,2023-09-14 17:37:35.121534464,5,C:\Users\teddi\AppData\Local\Mozilla,1033.0604438781738
Profiles,1083242386,C:\Users\teddi\AppData\Local\Mozilla\Firefox\Profiles,65335,2022-10-19 01:48:58.049788672,6,C:\Users\teddi\AppData\Local\Mozilla\Firefox,1033.0604419708252
tensorflow,1075208754,C:\Users\teddi\Documents\Projects\todo_list\venv\Lib\site-packages\tensorflow,10776,2023-07-04 06:07:34.122287872,8,C:\Users\teddi\Documents\Projects\todo_list\venv\Lib\site-packages,1025.3989734649658
